No.,Title,Writer(s),Length
1,"""Tim McGraw""","Taylor Swift
Liz Rose",3:54
2,"""Picture to Burn""","Swift
Rose",2:55
3,"""Teardrops on My Guitar""","Swift
Rose",3:35
4,"""A Place in This World""","Swift
Rose
Robert Ellis Orrall
Angelo Petraglia",3:22
5,"""Cold as You""","Swift
Rose",4:01
6,"""The Outside""",Swift,3:29
7,"""Tied Together with a Smile""","Swift
Rose",4:11
8,"""Stay Beautiful""","Swift
Rose",3:58
9,"""Should've Said No""",Swift,4:04
10,"""Mary's Song""","Swift
Rose
Brian Maher",3:35
11,"""Our Song""",Swift,3:24
12,"""I'm Only Me When I'm with You""","Swift
Orrall
Angelo",3:35
13,"""Invisible""","Swift
Orrall",3:26
14,"""A Perfectly Good Heart""","Swift
Brett James
Troy Verges",3:42
1,"""Fearless""","Swift
Liz Rose
Hillary Lindsey",4:01
2,"""Fifteen""",Swift,4:54
3,"""Love Story""",Swift,3:55
4,"""Hey Stephen""",Swift,4:14
5,"""White Horse""","Swift
Rose",3:54
6,"""You Belong with Me""","Swift
Rose",3:51
7,"""Breathe""","Swift
Caillat",4:23
8,"""Tell Me Why""","Swift
Rose",3:20
9,"""You're Not Sorry""",Swift,4:21
10,"""The Way I Loved You""","Swift
John Rich",4:04
11,"""Forever & Always""",Swift,3:45
12,"""The Best Day""",Swift,4:05
13,"""Change""",Swift,4:40
14,"""Our Song""",Swift,3:24
15,"""Teardrops on My Guitar""","Swift
Rose",3:36
16,"""Should've Said No""",Swift,4:06
1,"""Mine""",Swift,3:50
2,"""Sparks Fly""",Swift,4:20
3,"""Back to December""",Swift,4:53
4,"""Speak Now""",Swift,4:00
5,"""Dear John""",Swift,6:43
6,"""Mean""",Swift,3:57
7,"""The Story of Us""",Swift,4:25
8,"""Never Grow Up""",Swift,4:50
9,"""Enchanted""",Swift,5:53
10,"""Better than Revenge""",Swift,3:37
11,"""Innocent""",Swift,5:02
12,"""Haunted""",Swift,4:02
13,"""Last Kiss""",Swift,6:07
14,"""Long Live""",Swift,5:17
15,"""Ours""",Swift,3:58
16,"""If This Was a Movie""",Swift    Johnson,3:54
17,"""Superman""",Swift,4:36
1,"""State of Grace""",Swift,4:55
2,"""Red""",Swift,3:43
3,"""Treacherous""","Swift
Dan Wilson",4:02
4,"""I Knew You Were Trouble""","Swift
Max Martin
Shellback",3:39
5,"""All Too Well""","Swift
Liz Rose",5:29
6,"""22""","Swift
Martin
Shellback",3:52
7,"""I Almost Do""",Swift,4:04
8,"""We Are Never Ever Getting Back Together""","Swift
Martin
Shellback",3:13
9,"""Stay Stay Stay""",Swift,3:25
10,"""The Last Time""","Swift
Lightbody
Jacknife Lee",4:59
11,"""Holy Ground""",Swift,3:22
12,"""Sad Beautiful Tragic""",Swift,4:44
13,"""The Lucky One""",Swift,4:00
14,"""Everything Has Changed""","Swift
Sheeran",4:05
15,"""Starlight""",Swift,3:40
16,"""Begin Again""",Swift,3:57
17,"""The Moment I Knew""",Swift,4:46
18,"""Come Back Be Here""","Swift
Wilson",3:43
19,"""Girl at Home""",Swift,3:40
1,"""Welcome to New York""","Swift
Ryan Tedder",3:32
2,"""Blank Space""","Swift
Max Martin
Shellback",3:51
3,"""Style""","Swift
Martin
Shellback
Ali Payami",3:51
4,"""Out of the Woods""","Swift
Jack Antonoff",3:55
5,"""All You Had to Do Was Stay""","Swift
Martin",3:13
6,"""Shake It Off""","Swift
Martin
Shellback",3:39
7,"""I Wish You Would""","Swift
Antonoff",3:27
8,"""Bad Blood""","Swift
Martin
Shellback",3:31
9,"""Wildest Dreams""","Swift
Martin
Shellback",3:40
10,"""How You Get the Girl""","Swift
Martin
Shellback",4:07
11,"""This Love""",Swift,4:10
12,"""I Know Places""","Swift
Tedder",3:15
13,"""Clean""","Swift
Imogen Heap",4:30
14,"""Wonderland""","Swift
Martin
Shellback",4:05
15,"""You Are in Love""","Swift
Antonoff",4:27
16,"""New Romantics""","Swift
Martin
Shellback",3:50
1,"""Ready for It""","Taylor Swift
Max Martin
Shellback
Ali Payami",3:28
2,"""End Game""","Swift
Martin
Shellback
Sheeran
Nayvadius Wilburn",4:04
3,"""I Did Something Bad""","Swift
Martin
Shellback",3:58
4,"""Don't Blame Me""","Swift
Martin
Shellback",3:56
5,"""Delicate""","Swift
Martin
Shellback",3:52
6,"""Look What You Made Me Do""","Swift
Jack Antonoff
Richard Fairbrass
Fred Fairbrass
Rob Manzoli",3:31
7,"""So It Goes""","Swift
Martin
Shellback
Oscar G̦rres",3:47
8,"""Gorgeous""","Swift
Martin
Shellback",3:29
9,"""Getaway Car""","Swift
Antonoff",3:53
10,"""King of My Heart""","Swift
Martin
Shellback",3:34
11,"""Dancing with Our Hands Tied""","Swift
Martin
Shellback
Oscar Holter",3:31
12,"""Dress""","Swift
Antonoff",3:50
13,"""This Is Why We Can't Have Nice Things""","Swift
Antonoff",3:27
14,"""Call It What You Want""","Swift
Antonoff",3:23
15,"""New Year's Day""","Swift
Antonoff",3:55
1,"""I Forgot That You Existed""","Taylor Swift
Louis Bell
Adam King Feeney",2:51
2,"""Cruel Summer""","Swift
Jack Antonoff
Annie Clark",2:58
3,"""Lover""",Swift,3:41
4,"""The Man""","Swift
Joel Little",3:10
5,"""The Archer""","Swift
Antonoff",3:31
6,"""I Think He Knows""","Swift
Antonoff",2:53
7,"""Miss Americana""","Swift
Little",3:54
8,"""Paper Rings""","Swift
Antonoff",3:42
9,"""Cornelia Street""",Swift,4:47
10,"""Death by a Thousand Cuts""","Swift
Antonoff",3:19
11,"""London Boy""","Swift
Antonoff
Cautious Clay
Mark Anthony Spears",3:10
12,"""Soon You'll Get Better"" ","Swift
Antonoff",3:22
13,"""False God""","Swift
Antonoff",3:20
14,"""You Need to Calm Down""","Swift
Little",2:51
15,"""Afterglow""","Swift
Bell
Feeney",3:43
16,"""Me""","Swift
Little
Urie",3:13
17,"""It's Nice to Have a Friend""","Swift
Bell
Feeney",2:30
18,"""Daylight""",Swift,4:53
1,"""The 1""","Taylor Swift
Aaron Dessner",3:30
2,"""Cardigan""","Swift
Dessner",3:59
3,"""The Last Great American Dynasty""","Swift
Dessner",3:51
4,"""Exile""","Swift
William Bowery
Justin Vernon",4:45
5,"""My Tear Ricochet""",Swift,4:15
6,"""Mirrorball""","Swift
Antonoff",3:29
7,"""Seven""","Swift
Dessner",3:28
8,"""August""","Swift
Antonoff",4:21
9,"""This Is Me Trying""","Swift
Antonoff",3:15
10,"""Illicit Affairs""","Swift
Antonoff",3:10
11,"""Invisible String""","Swift
Dessner",4:12
12,"""Mad Woman""","Swift
Dessner",3:57
13,"""Epiphany""","Swift
Dessner",4:49
14,"""Betty""","Swift
Bowery",4:54
15,"""Peace""","Swift
Dessner",3:54
16,"""Hoax""","Swift
Dessner",3:40
17,"""The Lakes""","Swift
Antonoff",3:32